student_id,course_type,study_hours_per_week,sleep_hours_per_night,attendance_percent,practice_tests_completed,exam_score_percent
S067,Programming,8.6,7.2,78.0,3,88.6
S068,Programming,8.2,5.7,97.6,3,92.9
S069,Programming,13.4,5.5,89.0,2,100.0
S070,Biology,9.2,8.8,100.0,4,100.0
S071,Biology,4.9,8.9,96.1,4,91.2
S072,Biology,5.5,6.8,87.3,2,87.2
S073,Biology,6.3,6.6,100.0,1,82.9
S074,Biology,12.0,8.6,87.3,5,100.0
S075,Biology,10.6,5.8,91.9,6,99.3
S076,Programming,12.8,6.0,78.4,1,96.3
S077,Programming,8.3,7.7,82.8,1,85.5
S078,Programming,10.6,6.6,73.6,0,86.8
S079,Mathematics,12.5,7.0,93.9,3,100.0
S080,Programming,8.8,6.8,67.9,5,89.3
S081,Biology,11.8,7.4,91.4,5,100.0
S082,Mathematics,7.4,8.5,79.7,2,89.2
S083,Mathematics,8.5,7.1,96.1,2,81.9
S084,Programming,8.5,7.7,91.0,6,100.0
S085,Programming,5.2,4.7,100.0,5,84.6
S086,Programming,11.9,6.9,90.8,4,90.1
S087,Biology,8.1,6.1,63.1,2,73.6
S088,Mathematics,10.0,5.7,81.2,1,78.8
S089,Mathematics,11.9,6.0,67.9,3,93.1
S090,Programming,11.8,6.6,75.8,1,88.1
S091,Programming,12.7,8.0,100.0,1,97.0
S092,Programming,9.6,5.5,89.7,2,93.5
S093,Biology,8.3,7.0,73.6,1,84.9
S094,Biology,9.7,6.5,69.8,2,88.6
S095,Programming,3.3,6.6,82.4,3,80.6
S096,Biology,4.2,8.1,67.4,4,85.6
S097,Programming,4.7,7.6,73.9,3,65.8
S098,Biology,6.0,8.5,85.7,1,79.7
S099,Programming,11.6,6.8,95.9,2,81.6
S100,Programming,6.4,6.2,89.3,0,78.3
S101,Biology,8.5,6.8,54.5,2,80.8
S102,Programming,15.2,7.3,85.7,1,100.0
S103,Programming,8.6,7.2,82.9,2,96.2
S104,Programming,13.0,5.8,87.0,3,100.0
S105,Programming,6.3,7.1,100.0,5,90.4
S106,Mathematics,9.2,7.3,57.2,6,97.1
S107,Biology,6.2,9.8,74.9,3,83.6
S108,Biology,8.6,9.1,89.1,1,89.7
S109,Programming,13.4,6.1,63.0,0,94.3
S110,Mathematics,3.1,6.7,99.7,1,72.4
S111,Programming,11.7,5.4,86.4,4,100.0
S112,Programming,11.0,6.4,92.2,3,100.0
S113,Programming,7.6,7.3,75.1,4,82.6
S114,Biology,4.2,8.3,91.8,0,83.8
S115,Biology,10.3,6.2,94.8,5,100.0
S116,Biology,7.9,6.3,84.8,2,86.1
S117,Mathematics,10.9,4.6,84.8,4,89.3
S118,Mathematics,10.1,6.8,85.2,3,87.7
S119,Mathematics,16.4,5.8,71.6,5,100.0
S120,Mathematics,9.0,6.4,80.2,4,96.0
